exercise_name,group,current_involvement,reviewed_involvement,status,reviewer,reviewed_date,changes_made,notes
Alternating Dumbbell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Alternating Dumbbell Hammer Curl,arms,"biceps:1.0, forearms:0.7","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Hammer-curl mapping keeps biceps high because the app's biceps bucket includes brachialis, while forearms are major for brachioradialis and neutral-grip wrist stabilization."
Barbell Reverse Wrist Curl,arms,forearms:1.0,forearms:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Wrist curl, reverse wrist curl, grip, and pinch-hold mappings are forearm-isolation patterns targeting wrist/finger flexors or extensors in the app's forearms bucket."
Overhead Barbell Triceps Extension,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, traps:stabilizer, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added traps:0.2; added forearms:0.2; added abs:0.2,Overhead triceps extension mapping keeps triceps primary and adds trace deltoids/traps/forearms/abs because the shoulder is flexed overhead and the trunk stabilizes the long-head-biased position.
Barbell Wrist Curl,arms,forearms:1.0,forearms:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Wrist curl, reverse wrist curl, grip, and pinch-hold mappings are forearm-isolation patterns targeting wrist/finger flexors or extensors in the app's forearms bucket."
Bayesian Cable Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Machine Biceps Curl,arms,biceps:1.0,"biceps:primary, forearms:stabilizer",done,Codex,2026-06-27,added forearms:0.2,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Barbell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Standing Dumbbell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
EZ-Bar Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
TRX Biceps Curl,arms,"biceps:1.0, forearms:0.4, deltoids:0.2","biceps:primary, forearms:secondary, deltoids:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added abs:0.2,"TRX/bodyweight curl mapping uses the curl pattern plus closed-chain shoulder/trunk stabilization, so deltoids and abs are trace stabilizers."
Bodyweight Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Cable Concentration Curl,arms,biceps:1.0,"biceps:primary, forearms:stabilizer",done,Codex,2026-06-27,added forearms:0.2,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly. Concentration setup reduces whole-hand stabilization compared with standing curls."
